lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-7.139,0.957523,0.965593,1,3,0,7.35736,0.290126,293,3
-7.14274,0.9581,0.965593,1,3,0,7.37597,0.177014,294,3
-7.24522,0.977687,0.965593,1,1,0,7.25507,0.159428,295,3
-7.46954,0.920464,0.965593,1,3,0,7.93977,0.351785,296,3
-7.14832,1.0,0.965593,2,3,0,7.39297,0.175866,297,3
-7.12247,0.977328,0.965593,2,3,0,7.36311,0.285561,298,3
-7.78025,0.733578,0.965593,2,3,0,8.71754,0.110433,299,3
-7.48133,1.0,0.965593,1,1,0,7.75849,0.132823,300,3
-8.664,0.914348,0.965593,2,3,0,8.73009,0.473985,301,3
-8.11339,1.0,0.965593,2,3,0,8.78589,0.426211,302,3
-9.75039,0.778591,0.965593,2,3,0,10.0123,0.548313,303,3
-9.75039,0.1886,0.965593,1,1,0,13.3109,0.548313,304,3
-7.78365,1.0,0.965593,2,3,0,9.12754,0.391814,305,3
-7.17038,1.0,0.965593,1,1,0,7.57933,0.298043,306,3
-7.04138,0.941564,0.965593,2,3,0,7.4403,0.253884,307,3
-7.30071,0.836873,0.965593,2,3,0,7.87608,0.32473,308,3
-7.85754,0.927965,0.965593,2,3,0,7.90022,0.400045,309,3
-7.27947,1.0,0.965593,1,1,0,7.68711,0.320848,310,3
-7.73567,0.850761,0.965593,1,1,0,7.77704,0.386271,311,3
-7.09305,1.0,0.965593,1,3,0,7.52129,0.276455,312,3
-7.51706,0.848121,0.965593,1,3,0,7.92355,0.129675,313,3
-7.04954,1.0,0.965593,1,3,0,7.45854,0.204438,314,3
-7.64752,0.882138,0.965593,1,3,0,7.73553,0.119387,315,3
-7.64752,0.909708,0.965593,1,1,0,8.19867,0.119387,316,3
-7.73909,0.995127,0.965593,2,3,0,7.83681,0.113073,317,3
-7.40478,0.920696,0.965593,1,3,0,8.56666,0.342069,318,3
-7.10258,0.964941,0.965593,1,3,0,7.58416,0.186365,319,3
-7.21325,0.991679,0.965593,2,3,0,7.21639,0.164267,320,3
-7.06586,0.977926,0.965593,1,3,0,7.32783,0.266266,321,3
-7.97507,0.798416,0.965593,1,3,0,7.98377,0.412471,322,3
-7.6033,1.0,0.965593,1,1,0,7.99493,0.370025,323,3
-7.25106,1.0,0.965593,1,1,0,7.51874,0.315422,324,3
-7.59418,0.806079,0.965593,2,3,0,8.34474,0.123388,325,3
-8.0681,0.976395,0.965593,2,3,0,8.08511,0.0945989,326,3
-8.0681,0.945656,0.965593,1,1,0,8.52729,0.0945989,327,3
-7.85672,1.0,0.965593,1,1,0,8.13264,0.105809,328,3
-8.56107,0.970354,0.965593,2,3,0,8.57255,0.0746364,329,3
-7.58793,0.952139,0.965593,1,3,0,8.42146,0.123874,330,3
-8.08647,0.975207,0.965593,2,3,0,8.10042,0.0937166,331,3
-8.08696,0.999978,0.965593,2,3,0,8.27774,0.0936934,332,3
-7.03266,0.929016,0.965593,1,3,0,8.30171,0.247571,333,3
-7.69984,0.831337,0.965593,2,3,0,8.02827,0.115701,334,3
-7.73224,0.99487,0.965593,1,1,0,7.85611,0.113524,335,3
-8.72324,0.863627,0.965593,1,3,0,8.72459,0.0693883,336,3
-8.19235,1.0,0.965593,2,3,0,8.71982,0.0888739,337,3
-7.18248,0.871529,0.965593,2,7,0,8.8452,0.300883,338,3
-8.40312,0.534934,0.965593,1,3,0,9.71702,0.0802966,339,3
-7.06819,1.0,0.965593,2,3,0,8.27747,0.196808,340,3
-7.02341,0.977149,0.965593,2,3,0,7.23113,0.235335,341,3
-7.02275,0.985694,0.965593,2,3,0,7.09832,0.22914,342,3
-7.0691,0.949979,0.965593,2,3,0,7.31062,0.196485,343,3
-7.03433,1.0,0.965593,2,3,0,7.06018,0.213238,344,3
-8.54682,0.704922,0.965593,2,3,0,9.08265,0.0751234,345,3
-7.26115,0.99572,0.965593,1,3,0,8.43149,0.157174,346,3
-8.04535,0.827247,0.965593,1,3,0,8.65224,0.419561,347,3
-7.49451,1.0,0.965593,1,1,0,7.94807,0.355361,348,3
-7.1348,0.950379,0.965593,1,3,0,7.7456,0.178703,349,3
-7.036,0.931586,0.965593,2,3,0,7.73979,0.212055,350,3
