lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i
-7.68476,1.0,0.962205,1,1,0,7.99861,0.109182,387
-10.1462,0.818312,0.962205,2,3,0,10.6446,0.0381868,388
-8.89026,1.0,0.962205,1,1,0,10.0646,0.0627181,389
-6.79748,0.815593,0.962205,2,7,0,9.6864,0.290617,390
-7.19226,0.80884,0.962205,2,3,0,7.88136,0.14606,391
-10.4227,0.727879,0.962205,2,3,0,11.6181,0.634479,392
-7.95897,1.0,0.962205,2,3,0,9.73769,0.468105,393
-7.95897,0.455485,0.962205,1,1,0,9.55178,0.468105,394
-6.90095,1.0,0.962205,2,3,0,8.0219,0.185456,395
-6.75469,0.927365,0.962205,2,3,0,7.56424,0.235749,396
-7.19284,0.895747,0.962205,2,3,0,7.46892,0.37814,397
-6.91047,0.933844,0.962205,1,3,0,7.55252,0.183634,398
-6.79776,0.978247,0.962205,2,3,0,7.0373,0.290732,399
-7.25598,0.895874,0.962205,1,3,0,7.25664,0.3875,400
-7.38599,0.984956,0.962205,2,3,0,7.53726,0.405212,401
-7.38599,0.731754,0.962205,1,1,0,8.0628,0.405212,402
-7.02712,1.0,0.962205,1,1,0,7.31309,0.350115,403
-7.71605,0.383976,0.962205,2,3,0,11.052,0.443722,404
-6.79316,1.0,0.962205,1,3,0,7.42426,0.28875,405
-6.76254,1.0,0.962205,2,3,0,6.78497,0.271696,406
